disease,combination,food_name
Hemophilia,"Lean beef, Pumpkin, Bell pepper, Kidney beans, Blueberries",Iron Boost Lean beef Stew
Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy,"Salmon, Sweet potato, Spinach, Blueberry",Wellness Salmon Bowl #1
Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy,"Beef heart, Brown rice, Spinach, Sunflower seeds",Nourish Beef heart Stew
Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy,"Egg (whole), Oats, Spinach, Blueberry",Vitality Egg Dinner
Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy,"Sardine, Sweet potato, Spinach, Sunflower seeds",Health Guard Sardine Mix #4
Hereditary myopathy - Labrador retriever/Bouviers des Flandres myopathy,"Beef liver, Brown rice, Spinach, Blueberry",Care Blend Beef liver Plate #5
Hip dysplasia,"Chicken feet, Sweet potato, Spinach, Asparagus, Blueberry",Joint Shield Chicken feet Bowl
Hip dysplasia,"Egg (whole), Brown rice, Asparagus, Bell pepper, Bone broth",Flex & Move Egg Stew
Hip dysplasia,"Salmon, Oats, Bell pepper, Broccoli, Blueberry",Cartilage Care Salmon Dinner
Hip dysplasia,"Sardine, Sweet potato, Broccoli, Cabbage, Cod liver oil",Strong Bones Sardine Mix
Hip dysplasia,"Chicken cartilage, Brown rice, Cabbage, Kale, Blueberry",Joint Support Chicken cartilage Plate #5
Histiocytic ulcerative colitis,"Chicken breast, Pumpkin, Zucchini, Pumpkin seeds",Tummy Calm Chicken breast Bowl #1
Histiocytic ulcerative colitis,"Egg White, Sweet potato, Zucchini, Pumpkin seeds",Gut Heal Egg White Stew #2
Histiocytic ulcerative colitis,"Salmon, Rice, Zucchini, Pumpkin seeds",Digest Ease Salmon Dinner
Histiocytic ulcerative colitis,"Sardine, Oats, Zucchini, Pumpkin seeds",Belly Balance Sardine Mix
Histiocytic ulcerative colitis,"Yogurt, Pumpkin, Zucchini, Pumpkin seeds",Gentle Gut Yogurt Plate #5
Histiocytoma,"Egg (whole), Sweet potato, Broccoli, Spinach, Blueberry",Wellness Egg Bowl #1
Histiocytoma,"Salmon, Sweet potato, Spinach, Kale, Pumpkin seeds",Nourish Salmon Stew #2
Histiocytoma,"Sardine, Sweet potato, Kale, Turmeric (small amounts with black pepper), Blueberries",Vitality Sardine Dinner #3
Histiocytoma,"Chicken, Sweet potato, Turmeric (small amounts with black pepper), Broccoli, Flaxseed",Health Guard Chicken Mix
Histiocytoma,"Eggs, Sweet potato, Broccoli, Spinach, Apples (no seeds)",Care Blend Eggs Plate
Histiocytosis,"Egg (whole), Sweet potato, Broccoli, Spinach, Blueberry",Wellness Egg Bowl #1
Histiocytosis,"Salmon, Sweet potato, Spinach, Kale, Pumpkin seeds",Nourish Salmon Stew #2
Histiocytosis,"Sardine, Sweet potato, Kale, Turmeric (small amounts with black pepper), Blueberries",Vitality Sardine Dinner #3
Histiocytosis,"Chicken, Sweet potato, Turmeric (small amounts with black pepper), Broccoli, Sunflower seeds",Health Guard Chicken Mix #4
Histiocytosis,"Eggs, Sweet potato, Broccoli, Spinach, Apples (no seeds)",Care Blend Eggs Plate #5
Hydrocephalus,"Salmon, Sweet potato, Broccoli, Spinach, Blueberry",Brain Boost Salmon Bowl #1
Hydrocephalus,"Sardine, Sweet potato, Spinach, Broccoli, Pumpkin seeds",Neuro Shield Sardine Stew #2
Hydrocephalus,"Egg (whole), Sweet potato, Broccoli, Spinach, Blueberry",Calm Mind Egg Dinner #3
Hydrocephalus,"Chicken, Sweet potato, Spinach, Broccoli, Sunflower seeds",Nerve Care Chicken Mix
Hydrocephalus,"Eggs, Sweet potato, Broccoli, Spinach, Blueberry",Seizure Shield Eggs Plate
Hyperadrenocorticism (Cushing's syndrome),"Chicken breast, Sweet potato, Broccoli, Spinach, Flaxseed",Hormone Balance Chicken breast Bowl #1
Hyperadrenocorticism (Cushing's syndrome),"Egg White, Pumpkin, Spinach, Green beans, Sunflower seeds",Thyroid Support Egg White Stew
Hyperadrenocorticism (Cushing's syndrome),"Sardine (small), Rice, Green beans, Broccoli, Flaxseed",Endo Care Sardine (small) Dinner
Hyperadrenocorticism (Cushing's syndrome),"Turkey, Barley, Broccoli, Spinach, Sunflower seeds",Gland Guard Turkey Mix
Hyperadrenocorticism (Cushing's syndrome),"White Fish, Oats, Spinach, Green beans, Flaxseed",Metabolic Fuel White Fish Plate
Hyperlipoproteinemia,"Chicken breast, Pumpkin, Broccoli, Spinach, Blueberry",Lean & Fit Chicken breast Bowl
Hyperlipoproteinemia,"Salmon, Sweet potato, Spinach, Green beans, Cod liver oil",Weight Watch Salmon Stew
Hyperlipoproteinemia,"Egg White, Oat Bran, Green beans, Peanuts (plain), Blueberry",Slim Fuel Egg White Dinner
Hyperlipoproteinemia,"Sardine, White rice, Peanuts (plain), Broccoli, Cod liver oil",Metabolism Boost Sardine Mix
Hyperlipoproteinemia,"Salmon (small amounts), Barley, Broccoli, Spinach, Blueberry",Lean & Fit Salmon (small amounts) Bowl
"Hypo-/dysmyelinogenesis (""shaking pup"")","Salmon, Sweet potato, Broccoli, Spinach, Pumpkin seeds",Wellness Salmon Bowl #1
"Hypo-/dysmyelinogenesis (""shaking pup"")","Sardine, Sweet potato, Spinach, Broccoli, Cod liver oil",Nourish Sardine Stew #2
"Hypo-/dysmyelinogenesis (""shaking pup"")","Beef liver, Sweet potato, Broccoli, Spinach, Sunflower seeds",Vitality Beef liver Dinner
"Hypo-/dysmyelinogenesis (""shaking pup"")","Egg (whole), Sweet potato, Spinach, Broccoli, Pumpkin seeds",Health Guard Egg Mix #4
"Hypo-/dysmyelinogenesis (""shaking pup"")","Chicken Liver, Sweet potato, Broccoli, Spinach, Cod liver oil",Care Blend Chicken Liver Plate
Hypoadrenocorticism (Addison's disease),"Salmon, Sweet potato, Spinach, Broccoli, Bone broth (sodium-containing)",Hormone Balance Salmon Bowl
Hypoadrenocorticism (Addison's disease),"Chicken breast, Pumpkin, Broccoli, Bell pepper, Bone broth (sodium-containing)",Thyroid Support Chicken breast Stew
Hypoadrenocorticism (Addison's disease),"Egg (whole), Rice, Bell pepper, Kale, Bone broth (sodium-containing)",Endo Care Egg Dinner
Hypoadrenocorticism (Addison's disease),"Sardine, White rice, Kale, Spinach, Bone broth (sodium-containing)",Gland Guard Sardine Mix #4
Hypoadrenocorticism (Addison's disease),"Chicken, Sweet potato, Spinach, Broccoli, Bone broth (sodium-containing)",Metabolic Fuel Chicken Plate
Hypothyroidism,"Beef, Sweet potato, Spinach (cooked), Carrot, Pumpkin seeds",Hormone Balance Beef Bowl
Hypothyroidism,"Chicken, Brown rice, Carrot, Chickpeas, Seaweed (small amount)",Thyroid Support Chicken Stew
Hypothyroidism,"Egg (whole), Pumpkin, Chickpeas, Spinach (cooked), Kelp/Seaweed",Endo Care Egg Dinner #3
Hypothyroidism,"Salmon, Sweet potato, Spinach (cooked), Carrot, Seaweed (small amounts)",Gland Guard Salmon Mix
Hypothyroidism,"Sardine, Brown rice, Carrot, Chickpeas, Sunflower seeds",Metabolic Fuel Sardine Plate
Idiopathic epilepsy,"Salmon, Sweet potato, Spinach, Blueberry",Brain Boost Salmon Bowl #1
Idiopathic epilepsy,"Sardine, Banana, Spinach, Flaxseed",Neuro Shield Sardine Stew #2
Idiopathic epilepsy,"Beef liver, Brown rice, Spinach, Blueberry",Calm Mind Beef liver Dinner #3
Idiopathic epilepsy,"Egg (whole), Oats, Spinach, Coconut oil (MCT)",Nerve Care Egg Mix #4
Idiopathic epilepsy,"Chicken, Quinoa, Spinach, Blueberry",Seizure Shield Chicken Plate
Immune-mediated hemolytic anemia (IMHA),"Egg (whole), Sweet potato, Spinach, Broccoli, Blueberry",Blood Builder Egg Bowl
Immune-mediated hemolytic anemia (IMHA),"Beef, Sweet potato, Broccoli, Asparagus, Sunflower seeds",Iron Boost Beef Stew
Immune-mediated hemolytic anemia (IMHA),"Beef liver, Sweet potato, Asparagus, Kale, Blueberries",Vital Blood Beef liver Dinner
Immune-mediated hemolytic anemia (IMHA),"Chicken Liver, Sweet potato, Kale, Spinach, Sunflower seeds",Blood Builder Chicken Liver Bowl
Immune-mediated hemolytic anemia (IMHA),"Salmon, Sweet potato, Spinach, Broccoli, Apples (no seeds)",Iron Boost Salmon Stew
Immune-mediated thrombocytopenia,"Beef liver, Sweet potato, Spinach, Broccoli, Blueberry",Blood Builder Beef liver Bowl #1
Immune-mediated thrombocytopenia,"Salmon, Pumpkin, Broccoli, Kale, Sunflower seeds",Iron Boost Salmon Stew #2
Immune-mediated thrombocytopenia,"Sardine, Sweet potato, Kale, Turmeric (small amounts with black pepper), Blueberries",Vital Blood Sardine Dinner
Immune-mediated thrombocytopenia,"Egg (whole), Pumpkin, Turmeric (small amounts with black pepper), Spinach, Sunflower seeds",Blood Builder Egg Bowl #4
Immune-mediated thrombocytopenia,"Egg yolk, Sweet potato, Spinach, Broccoli, Apples (no seeds)",Iron Boost Egg yolk Stew
Immunoproliferative (Basenji) enteropathy/lymphocytic-plasmacytic enteritis,"Chicken breast, Pumpkin, Asparagus, Broccoli, Pumpkin seeds",Tummy Calm Chicken breast Bowl #1
Immunoproliferative (Basenji) enteropathy/lymphocytic-plasmacytic enteritis,"Egg White, Rice, Broccoli, Spinach, Pumpkin seeds",Gut Heal Egg White Stew #2
Immunoproliferative (Basenji) enteropathy/lymphocytic-plasmacytic enteritis,"Salmon, Sweet potato, Spinach, Asparagus, Pumpkin seeds",Digest Ease Salmon Dinner #3
Immunoproliferative (Basenji) enteropathy/lymphocytic-plasmacytic enteritis,"Sardine (small), Pumpkin, Asparagus, Broccoli, Pumpkin seeds",Belly Balance Sardine (small) Mix #4
Immunoproliferative (Basenji) enteropathy/lymphocytic-plasmacytic enteritis,"White Fish, Rice, Broccoli, Spinach, Pumpkin seeds",Gentle Gut White Fish Plate
Intervertebral disk disease,"Salmon, Sweet potato, Spinach, Broccoli, Blueberry",Joint Shield Salmon Bowl #1
Intervertebral disk disease,"Sardine, Banana, Broccoli, Spinach, Flaxseed",Flex & Move Sardine Stew #2
Intervertebral disk disease,"Chicken feet, Brown rice, Spinach, Broccoli, Blueberry",Cartilage Care Chicken feet Dinner #3
Intervertebral disk disease,"Egg (whole), Oats, Broccoli, Spinach, Flaxseed oil",Strong Bones Egg Mix #4
Intervertebral disk disease,"Chicken breast, Quinoa, Spinach, Broccoli, Blueberry",Joint Support Chicken breast Plate #5
"Keratoconjunctivitis sicca (KCS) - ""dry eye""","Egg yolk, Sweet potato, Spinach, Carrot, Blueberry",Bright Eyes Egg yolk Bowl #1
"Keratoconjunctivitis sicca (KCS) - ""dry eye""","Salmon, Pumpkin, Carrot, Kale, Pumpkin seeds",Vision Shield Salmon Stew #2
"Keratoconjunctivitis sicca (KCS) - ""dry eye""","Sardine, Sweet potato, Kale, Spinach, Blueberry",Clear Sight Sardine Dinner #3
"Keratoconjunctivitis sicca (KCS) - ""dry eye""","Beef, Pumpkin, Spinach, Carrot, Hemp seeds",Retina Guard Beef Mix #4
"Keratoconjunctivitis sicca (KCS) - ""dry eye""","Beef liver, Sweet potato, Carrot, Kale, Blueberry",Eye Protect Beef liver Plate #5
Laryngeal paralysis,"Beef liver, Sweet potato, Spinach, Broccoli, Blueberry",Breathe Easy Beef liver Bowl
Laryngeal paralysis,"Sardine, Pumpkin, Broccoli, Kale, Pumpkin seeds",Airway Care Sardine Stew
Laryngeal paralysis,"Egg (whole), Sweet potato, Kale, Spinach, Blueberry",Lung Support Egg Dinner
Laryngeal paralysis,"Salmon, Pumpkin, Spinach, Broccoli, Flaxseed",Clear Air Salmon Mix
Laryngeal paralysis,"Chicken breast, Sweet potato, Broccoli, Kale, Blueberry",Breathe Easy Chicken breast Bowl
Legg-CalvÃ©-Perthes disease,"Salmon, Sweet potato, Broccoli, Bell pepper, Blueberries",Joint Shield Salmon Bowl #1
Legg-CalvÃ©-Perthes disease,"Chicken cartilage, Sweet potato, Bell pepper, Kale, Cod liver oil",Flex & Move Chicken cartilage Stew
Legg-CalvÃ©-Perthes disease,"Sardine, Sweet potato, Kale, Broccoli, Blueberries",Cartilage Care Sardine Dinner #3
Legg-CalvÃ©-Perthes disease,"Beef liver, Sweet potato, Broccoli, Bell pepper, Cod liver oil",Strong Bones Beef liver Mix #4
Legg-CalvÃ©-Perthes disease,"Chicken feet, Sweet potato, Bell pepper, Kale, Blueberries",Joint Support Chicken feet Plate #5
Legg-Calvé-Perthes disease,"Chicken feet, Sweet potato, Broccoli, Spinach, Bone broth",Joint Shield Chicken feet Bowl #1
Legg-Calvé-Perthes disease,"Egg (whole), Sweet potato, Spinach, Broccoli, Flaxseed",Flex & Move Egg Stew #2
Legg-Calvé-Perthes disease,"Salmon, Sweet potato, Broccoli, Spinach, Pumpkin seeds",Cartilage Care Salmon Dinner #3
Legg-Calvé-Perthes disease,"Sardine, Sweet potato, Spinach, Broccoli, Bone broth",Strong Bones Sardine Mix #4
Lens luxation,"Salmon, Pumpkin, Broccoli, Carrot, Blueberry",Bright Eyes Salmon Bowl #1
Lens luxation,"Sardine, Sweet potato, Carrot, Kale, Sunflower seeds",Vision Shield Sardine Stew #2
Lens luxation,"Egg yolk, Pumpkin, Kale, Spinach, Blueberry",Clear Sight Egg yolk Dinner #3
Lens luxation,"Beef, Sweet potato, Spinach, Bell pepper, Sunflower seeds",Retina Guard Beef Mix #4
Lens luxation,"Mackerel, Pumpkin, Bell pepper, Broccoli, Blueberry",Eye Protect Mackerel Plate #5
Leukodystrophies,"Beef liver, Sweet potato, Spinach, Blueberry",Wellness Beef liver Bowl #1
Leukodystrophies,"Salmon, Sweet potato, Spinach, Pumpkin seeds",Nourish Salmon Stew #2
Leukodystrophies,"Sardine, Sweet potato, Spinach, Blueberry",Vitality Sardine Dinner #3
Leukodystrophies,"Egg (whole), Sweet potato, Spinach, Sunflower seeds",Health Guard Egg Mix #4
Leukodystrophies,"Eggs, Sweet potato, Spinach, Blueberry",Care Blend Eggs Plate #5
Lissencephaly,"Salmon, Sweet potato, Broccoli, Spinach, Blueberry",Brain Boost Salmon Bowl #1
Lissencephaly,"Sardine, Sweet potato, Spinach, Asparagus, Cod liver oil",Neuro Shield Sardine Stew #2
Lissencephaly,"Beef liver, Sweet potato, Asparagus, Broccoli, Blueberry",Calm Mind Beef liver Dinner #3
Lissencephaly,"Egg yolk, Sweet potato, Broccoli, Spinach, Cod liver oil",Nerve Care Egg yolk Mix
Lissencephaly,"Eggs, Sweet potato, Spinach, Asparagus, Blueberry",Seizure Shield Eggs Plate #5
"Lupus erythematosus (systemic, cutaneous/discoid)","Salmon, Sweet potato, Broccoli, Spinach, Blueberry",Immune Shield Salmon Bowl
"Lupus erythematosus (systemic, cutaneous/discoid)","Sardine, Sweet potato, Spinach, Kale, Flaxseed",Defense Boost Sardine Stew
"Lupus erythematosus (systemic, cutaneous/discoid)","Egg (whole), Sweet potato, Kale, Turmeric (small amounts with black pepper), Blueberries",Guard Up Egg Dinner
"Lupus erythematosus (systemic, cutaneous/discoid)","Beef liver, Sweet potato, Turmeric (small amounts with black pepper), Broccoli, Cod liver oil",Immune Shield Beef liver Bowl
"Lupus erythematosus (systemic, cutaneous/discoid)","Chicken, Sweet potato, Broccoli, Spinach, Blueberry",Defense Boost Chicken Stew
Lymphedema,"Chicken breast, Sweet potato, Broccoli, Spinach, Blueberry",Wellness Chicken breast Bowl #1
Lymphedema,"Egg (whole), Pumpkin, Spinach, Parsley, Sunflower seeds",Nourish Egg Stew #2
Lymphedema,"Salmon, Sweet potato, Parsley, Kale, Blueberries",Vitality Salmon Dinner #3
Lymphedema,"Sardine, Pumpkin, Kale, Broccoli, Sunflower seeds",Health Guard Sardine Mix #4
Lymphedema,"Herring, Sweet potato, Broccoli, Spinach, Blueberry",Care Blend Herring Plate
Lysosomal storage diseases,"Sardine, Sweet potato, Spinach, Blueberry",Wellness Sardine Bowl
Lysosomal storage diseases,"Beef liver, Sweet potato, Spinach, Pumpkin seeds",Nourish Beef liver Stew
Lysosomal storage diseases,"Salmon, Sweet potato, Spinach, Blueberry",Vitality Salmon Dinner #3
Lysosomal storage diseases,"Egg (whole), Sweet potato, Spinach, Sunflower seeds",Health Guard Egg Mix #4
Lysosomal storage diseases,"Beef heart, Sweet potato, Spinach, Blueberry",Care Blend Beef heart Plate
Masticatory muscle myositis - eosinophilic myositis,"Salmon, Pumpkin, Spinach, Chickpeas, Blueberry",Wellness Salmon Bowl #1
Masticatory muscle myositis - eosinophilic myositis,"Egg (whole), Sweet potato, Chickpeas, Spinach, Cod liver oil",Nourish Egg Stew #2
Masticatory muscle myositis - eosinophilic myositis,"Sardine, Brown rice, Spinach, Chickpeas, Blueberry",Vitality Sardine Dinner #3
Masticatory muscle myositis - eosinophilic myositis,"Soft Cooked Chicken, Pumpkin, Chickpeas, Spinach, Sunflower seeds",Health Guard Soft Cooked Chicken Mix
Masticatory muscle myositis - eosinophilic myositis,"Beef, Sweet potato, Spinach, Chickpeas, Blueberry",Care Blend Beef Plate #5
Megaesophagus,"Egg (whole), Pumpkin, Spinach, Pumpkin seeds",Tummy Calm Egg Bowl
Megaesophagus,"Salmon, Rice (moist), Spinach, Sunflower seeds",Gut Heal Salmon Stew #2
Megaesophagus,"Chicken Breast (pureed/meatball), Sweet Potato (mashed), Spinach, Pumpkin seeds",Digest Ease Chicken Breast (pureed/meatball) Dinner
Megaesophagus,"Chicken breast, Rice (blended), Spinach, Sunflower seeds",Belly Balance Chicken breast Mix
Megaesophagus,"Eggs, Sweet potato, Spinach, Pumpkin seeds",Gentle Gut Eggs Plate
Mellitus,"Chicken breast, Pumpkin, Broccoli, Spinach, Flaxseed",Wellness Chicken breast Bowl #1
Mellitus,"Egg (whole), Sweet Potato (moderate), Spinach, Broccoli, Pumpkin seeds",Nourish Egg Stew #2
Mellitus,"Salmon, Oats, Broccoli, Spinach, Flaxseed",Vitality Salmon Dinner #3
Mellitus,"Sardine, Barley, Spinach, Broccoli, Pumpkin seeds",Health Guard Sardine Mix #4
Mellitus,"Lean beef, Brown rice, Broccoli, Spinach, Flaxseed",Care Blend Lean beef Plate
Meningitis,"Salmon, Sweet potato, Broccoli, Spinach, Blueberry",Wellness Salmon Bowl #1
Meningitis,"Sardine, Sweet potato, Spinach, Bell pepper, Pumpkin seeds",Nourish Sardine Stew #2
Meningitis,"Egg (whole), Sweet potato, Bell pepper, Kale, Blueberry",Vitality Egg Dinner #3
Meningitis,"Chicken, Sweet potato, Kale, Broccoli, Flaxseed",Health Guard Chicken Mix #4
Meningitis,"Eggs, Sweet potato, Broccoli, Spinach, Blueberry",Care Blend Eggs Plate #5
Microphthalmia; ocular dysgenesis,"Salmon, Pumpkin, Spinach, Carrot, Blueberry",Bright Eyes Salmon Bowl #1
Microphthalmia; ocular dysgenesis,"Sardine, Sweet potato, Carrot, Kale, Pumpkin seeds",Vision Shield Sardine Stew #2
Microphthalmia; ocular dysgenesis,"Egg yolk, Pumpkin, Kale, Asparagus, Blueberry",Clear Sight Egg yolk Dinner #3
Microphthalmia; ocular dysgenesis,"Beef liver, Sweet potato, Asparagus, Broccoli, Pumpkin seeds",Retina Guard Beef liver Mix
Microphthalmia; ocular dysgenesis,"Beef, Pumpkin, Broccoli, Spinach, Blueberry",Eye Protect Beef Plate #5
Mitral valve dysplasia,"Beef heart, Sweet potato, Spinach, Broccoli, Flaxseed",Heart Guard Beef heart Bowl #1
Mitral valve dysplasia,"Chicken heart, Brown rice, Broccoli, Spinach, Pumpkin seeds",Cardio Shield Chicken heart Stew #2
Mitral valve dysplasia,"Salmon, Oats, Spinach, Broccoli, Cod liver oil",Strong Heart Salmon Dinner #3
Mitral valve dysplasia,"Egg (whole), Sweet potato, Broccoli, Spinach, Flaxseed",Taurine Boost Egg Mix #4
Mitral valve dysplasia,"Sardine, Brown rice, Spinach, Broccoli, Pumpkin seeds",Heart Health Sardine Plate
Myasthenia gravis,"Beef liver, Sweet potato, Spinach, Broccoli, Blueberry",Wellness Beef liver Bowl #1
Myasthenia gravis,"Sardine, Sweet potato, Broccoli, Spinach, Sunflower seeds",Nourish Sardine Stew #2
Myasthenia gravis,"Egg yolk, Sweet potato, Spinach, Broccoli, Blueberry",Vitality Egg yolk Dinner
Myasthenia gravis,"Salmon, Sweet potato, Broccoli, Spinach, Sunflower seeds",Health Guard Salmon Mix
Myasthenia gravis,"Mackerel, Sweet potato, Spinach, Broccoli, Blueberry",Care Blend Mackerel Plate #5
Myelodysplasia (spinal dysraphism),"Sardine, Sweet potato, Broccoli, Spinach, Blueberry",Joint Shield Sardine Bowl #1
Myelodysplasia (spinal dysraphism),"Beef liver, Sweet potato, Spinach, Asparagus, Flaxseed oil",Flex & Move Beef liver Stew
Myelodysplasia (spinal dysraphism),"Salmon, Sweet potato, Asparagus, Broccoli, Blueberry",Cartilage Care Salmon Dinner #3
Myelodysplasia (spinal dysraphism),"Egg (whole), Sweet potato, Broccoli, Spinach, Pumpkin seeds",Strong Bones Egg Mix #4
Myelodysplasia (spinal dysraphism),"Chicken, Sweet potato, Spinach, Asparagus, Blueberry",Joint Support Chicken Plate
Myotonia,"Beef liver, Banana, Broccoli, Spinach, Pumpkin seeds",Wellness Beef liver Bowl #1
Myotonia,"Salmon, Sweet potato, Spinach, Kale, Pumpkin seeds",Nourish Salmon Stew #2
Myotonia,"Sardine, Brown rice, Kale, Broccoli, Pumpkin seeds",Vitality Sardine Dinner #3
Myotonia,"Egg (whole), Oats, Broccoli, Spinach, Pumpkin seeds",Health Guard Egg Mix #4
Myotonia,"Chicken, Quinoa, Spinach, Kale, Pumpkin seeds",Care Blend Chicken Plate #5
Neuroaxonal dystrophy,"Sardine, Sweet potato, Spinach, Blueberry",Joint Shield Sardine Bowl #1
Neuroaxonal dystrophy,"Beef liver, Sweet potato, Spinach, Sunflower seeds",Flex & Move Beef liver Stew #2
Neuroaxonal dystrophy,"Salmon, Sweet potato, Spinach, Blueberry",Cartilage Care Salmon Dinner #3
Neuroaxonal dystrophy,"Egg (whole), Sweet potato, Spinach, Pumpkin seeds",Strong Bones Egg Mix #4
Neuroaxonal dystrophy,"Eggs, Sweet potato, Spinach, Blueberry",Joint Support Eggs Plate #5
Optic nerve hypoplasia and micropapilla,"Salmon, Sweet potato, Spinach, Broccoli, Blueberry",Bright Eyes Salmon Bowl #1
Optic nerve hypoplasia and micropapilla,"Sardine, Pumpkin, Broccoli, Carrot, Sunflower seeds",Vision Shield Sardine Stew #2
Optic nerve hypoplasia and micropapilla,"Egg yolk, Sweet potato, Carrot, Kale, Blueberry",Clear Sight Egg yolk Dinner #3
Optic nerve hypoplasia and micropapilla,"Beef liver, Pumpkin, Kale, Spinach, Sunflower seeds",Retina Guard Beef liver Mix #4
Osteochondrodysplasia - skeletal dwarfism,"Chicken feet, Sweet potato, Broccoli, Spinach, Pumpkin seeds",Joint Shield Chicken feet Bowl #1
Osteochondrodysplasia - skeletal dwarfism,"Egg (whole), Sweet potato, Spinach, Chickpeas, Bone broth",Flex & Move Egg Stew #2
Osteochondrodysplasia - skeletal dwarfism,"Salmon, Sweet potato, Chickpeas, Kale, Cod liver oil",Cartilage Care Salmon Dinner #3
Osteochondrodysplasia - skeletal dwarfism,"Sardine, Sweet potato, Kale, Broccoli, Pumpkin seeds",Strong Bones Sardine Mix #4
Osteochondrodysplasia - skeletal dwarfism,"Beef, Sweet potato, Broccoli, Spinach, Bone broth",Joint Support Beef Plate
Pancreatitis,"Chicken Breast (boiled), Sweet potato, Carrot, Zucchini, Sunflower seeds (small)",Tummy Calm Chicken Breast (boiled) Bowl
Pancreatitis,"Egg White, Pumpkin, Zucchini, Spinach, Sunflower seeds (small)",Gut Heal Egg White Stew #2
Pancreatitis,"White Fish, White rice, Spinach, Carrot, Sunflower seeds (small)",Digest Ease White Fish Dinner
Pancreatitis,"Chicken breast, Oats, Carrot, Zucchini, Sunflower seeds (small)",Belly Balance Chicken breast Mix #4
Pancreatitis,"Chicken, Sweet potato, Zucchini, Spinach, Sunflower seeds (small)",Gentle Gut Chicken Plate
Pannus - chronic superficial keratitis,"Egg yolk, Sweet potato, Carrot, Kale, Blueberry",Bright Eyes Egg yolk Bowl #1
Pannus - chronic superficial keratitis,"Salmon, Pumpkin, Kale, Spinach, Pumpkin seeds",Vision Shield Salmon Stew #2
Pannus - chronic superficial keratitis,"Sardine, Sweet potato, Spinach, Broccoli, Blueberries",Clear Sight Sardine Dinner #3
Pannus - chronic superficial keratitis,"Beef liver, Pumpkin, Broccoli, Carrot, Flaxseed",Retina Guard Beef liver Mix #4
Pannus - chronic superficial keratitis,"Herring, Sweet potato, Carrot, Kale, Apples (no seeds)",Eye Protect Herring Plate #5
Panosteitis,"Salmon, Sweet potato, Broccoli, Spinach, Blueberries",Wellness Salmon Bowl #1
Panosteitis,"Sardine, Pumpkin, Spinach, Bell pepper, Pumpkin seeds",Nourish Sardine Stew #2
Panosteitis,"Chicken breast, Rice, Bell pepper, Kale, Blueberries",Vitality Chicken breast Dinner
Panosteitis,"Egg (whole), Sweet potato, Kale, Broccoli, Pumpkin seeds",Health Guard Egg Mix #4
Panosteitis,"Beef liver, Pumpkin, Broccoli, Spinach, Blueberries",Care Blend Beef liver Plate #5
Patellar luxation,"Chicken feet, Sweet potato, Spinach, Broccoli, Blueberries",Joint Shield Chicken feet Bowl #1
Patellar luxation,"Egg (whole), Sweet potato, Broccoli, Kale, Flaxseed",Flex & Move Egg Stew #2
Patellar luxation,"Salmon, Sweet potato, Kale, Bell pepper, Blueberries",Cartilage Care Salmon Dinner #3
Patellar luxation,"Sardine, Sweet potato, Bell pepper, Spinach, Bone broth",Strong Bones Sardine Mix #4
Patellar luxation,"Chicken breast, Sweet potato, Spinach, Broccoli, Blueberries",Joint Support Chicken breast Plate #5
Patent ductus arteriosus (PDA),"Beef heart, Sweet potato, Spinach, Flaxseed",Heart Guard Beef heart Bowl #1
Patent ductus arteriosus (PDA),"Chicken heart, Sweet potato, Spinach, Pumpkin seeds",Cardio Shield Chicken heart Stew #2
Patent ductus arteriosus (PDA),"Egg (whole), Sweet potato, Spinach, Sunflower seeds",Strong Heart Egg Dinner
Patent ductus arteriosus (PDA),"Salmon, Sweet potato, Spinach, Flaxseed",Taurine Boost Salmon Mix
Patent ductus arteriosus (PDA),"Sardine, Sweet potato, Spinach, Pumpkin seeds",Heart Health Sardine Plate #5
Pemphigus,"Salmon, Sweet potato, Spinach, Chickpeas, Blueberry",Skin Glow Salmon Bowl #1
Pemphigus,"Sardine, Sweet potato, Chickpeas, Spinach, Pumpkin seeds",Coat Shine Sardine Stew #2
Pemphigus,"Egg (whole), Sweet potato, Spinach, Chickpeas, Blueberry",Derma Care Egg Dinner
Pemphigus,"Beef, Sweet potato, Chickpeas, Spinach, Cod liver oil",Itch Relief Beef Mix #4
Pemphigus,"Beef liver, Sweet potato, Spinach, Chickpeas, Blueberry",Fur Renewal Beef liver Plate #5
Perianal fistula,"Salmon, Pumpkin, Spinach, Broccoli, Apples (no seeds)",Wellness Salmon Bowl #1
Perianal fistula,"Sardine, Sweet potato, Broccoli, Chickpeas, Cod liver oil",Nourish Sardine Stew #2
Perianal fistula,"Duck, Pumpkin, Chickpeas, Kale, Apples (no seeds)",Vitality Duck Dinner
Perianal fistula,"Egg (whole), Sweet potato, Kale, Spinach, Sunflower seeds",Health Guard Egg Mix #4
Perianal fistula,"Venison, Pumpkin, Spinach, Broccoli, Apples (no seeds)",Care Blend Venison Plate
Peripheral neuropathies,"Salmon, Sweet potato, Spinach, Broccoli, Pumpkin seeds",Brain Boost Salmon Bowl #1
Peripheral neuropathies,"Sardine, Banana, Broccoli, Brussels sprouts, Cod liver oil",Neuro Shield Sardine Stew #2
